Total Distance: 1319616
First		Second		Distance
------------------------------------------------------------
10122		10033		89
10159		10130		29
10186		10226		40
10461		10279		182
10582		10461		121
10614		10461		153
10967		10461		506
11126		10461		665
11216		10461		755
11274		10461		813
11326		10516		810
11393		10531		862
11431		10624		807
11456		10684		772
11545		10777		768
11563		10907		656
11623		10921		702
11626		11228		398
11693		11294		399
11755		11393		362
11876		11393		483
11982		11393		589
12167		11393		774
12186		11393		793
12205		11393		812
12292		11393		899
12293		11393		900
12296		11393		903
12316		11393		923
12414		11393		1021
12497		11393		1104
12600		11393		1207
12731		11477		1254
12892		11587		1305
12932		11728		1204
12981		12078		903
13011		12402		609
13014		12411		603
13018		12815		203
13058		13054		4
13088		13458		370
13116		13851		735
13119		13900		781
13131		14101		970
13186		14142		956
13234		14329		1095
13243		14704		1461
13264		14865		1601
13465		14942		1477
13554		14998		1444
13556		15072		1516
13673		15495		1822
13779		15576		1797
13919		15754		1835
14018		15883		1865
14164		15909		1745
14352		16283		1931
14585		16338		1753
14599		16778		2179
14635		17142		2507
14648		17183		2535
14882		17192		2310
14960		17296		2336
14988		17319		2331
14989		17416		2427
15008		17484		2476
15116		17578		2462
15127		17615		2488
15131		17661		2530
15138		17752		2614
15219		18449		3230
15241		18461		3220
15256		18573		3317
15492		18758		3266
15696		18938		3242
15717		19008		3291
15753		19254		3501
15758		19254		3496
15816		19254		3438
15911		19254		3343
16089		19254		3165
16143		19254		3111
16176		19254		3078
16242		19254		3012
16278		19254		2976
16309		19254		2945
16351		19254		2903
16368		19254		2886
16457		19254		2797
16600		19295		2695
16657		19348		2691
16694		19486		2792
16724		19490		2766
16785		19490		2705
16787		19490		2703
16788		19490		2702
16862		19490		2628
16866		19490		2624
16902		19490		2588
16989		19490		2501
16999		19490		2491
17060		19490		2430
17098		19490		2392
17180		19490		2310
17235		19490		2255
17282		19490		2208
17367		19490		2123
17389		19490		2101
17409		19490		2081
17428		19490		2062
17522		19555		2033
17589		19555		1966
17707		19555		1848
18124		19555		1431
18201		19555		1354
18254		19555		1301
18264		19555		1291
18334		19555		1221
18446		19555		1109
18515		19555		1040
18656		19555		899
18834		19555		721
18935		19555		620
18988		19555		567
19254		19555		301
19289		19555		266
19383		19555		172
19425		19555		130
19490		19555		65
19538		19597		59
19555		20005		450
19565		20117		552
19798		20196		398
19897		20819		922
20023		20910		887
20052		20914		862
20118		21097		979
20188		21264		1076
20212		21302		1090
20301		21358		1057
20318		21462		1144
20406		21633		1227
20419		22013		1594
20458		22051		1593
20625		22129		1504
20643		22181		1538
20692		22496		1804
20918		22523		1605
21051		22847		1796
21158		22924		1766
21236		22932		1696
21257		22975		1718
21279		23009		1730
21399		23062		1663
21580		23062		1482
21625		23062		1437
21760		23062		1302
21880		23062		1182
22036		23062		1026
22139		23062		923
22255		23062		807
22315		23062		747
22667		23062		395
22912		23079		167
22941		23161		220
23051		23504		453
23062		23540		478
23209		23761		552
23308		24123		815
